id,slug,classification,recall,ai_chars,wiki_chars,unsupported_entities,wiki_url,title
1069,marx-sang-pendidik-revolusioner,UNVERIFIABLE,0.000,599,0,,,Marx Sang Pendidik Revolusioner
1070,koleksi-puisi-masturbasi,UNVERIFIABLE,0.000,444,0,,,Koleksi Puisi Masturbasi
1071,memoir-shamsiah-fakeh,UNVERIFIABLE,0.000,704,0,,,Memoir Shamsiah Fakeh: Dari AWAS ke Rejimen ke-10
1072,komrad-asi-rejimen-10,UNVERIFIABLE,0.000,564,0,,,Komrad Asi Rejimen 10: Dalam Denyut Nihilisme Sejarah
1073,politics-for-the-common-people,UNVERIFIABLE,0.000,531,0,,,Politics for the Common People
1074,politics-of-a-police-state,UNVERIFIABLE,0.000,552,0,,,Politics of a Police State
1075,handbook-nonviolent-resistance,UNVERIFIABLE,0.000,585,0,,,A Handbook of Non-violent Resistance Techniques
1076,overview-marine-life-disaster-vietnam,UNVERIFIABLE,0.000,612,0,,,An Overview of Marine Life Disaster in Vietnam
1077,handbook-support-prisoners-of-conscience,UNVERIFIABLE,0.000,545,0,,,A Handbook of How to Support Prisoners of Conscience
1078,the-winning-side-huy-duc,UNVERIFIABLE,0.000,537,0,,,The Winning Side
1079,a-tale-for-2000,UNVERIFIABLE,0.000,523,0,,,A Tale for 2000
1080,year-501-chomsky,RISKY,0.158,632,1210,United States,https://en.wikipedia.org/wiki/Year_501%3A_The_Conquest_Continues,Year 501: The Conquest Continues
1081,what-uncle-sam-really-wants,UNVERIFIABLE,0.000,568,0,,,What Uncle Sam Really Wants
1082,bad-samaritans,PLAUSIBLE,0.458,606,1207,,https://en.wikipedia.org/wiki/Bad_Samaritans_(book),Bad Samaritans: The Myth of Free Trade and the Secret History of Capitalism
1083,a-spoon-on-earth,UNVERIFIABLE,0.000,548,0,,,A Spoon on Earth
1084,guerillas-of-the-kingdom-of-samsung,UNVERIFIABLE,0.000,551,0,,,Guerillas of the Kingdom of Samsung
1085,the-global-trap,RISKY,0.173,571,1208,,https://en.wikipedia.org/wiki/The_Global_Trap,The Global Trap
1086,auf-der-universitat,UNVERIFIABLE,0.000,537,0,,,Auf der Universität
1087,slots-shin,UNVERIFIABLE,0.000,524,0,,,Slots
1088,respect-chavez-perez,UNVERIFIABLE,0.000,588,0,,,Respect: Everything a Guy Needs to Know About Sex
