id,slug,bucket,cross_book_dup,grounded_signals,hallucination_tells,dup_windows,max_fanout,ctx_len,reasoning,title
100,midnights-children,THIN,0,,,0,0,380,"no signals, no tells (len=380)",Midnight's Children
106,the-god-of-small-things,THIN,0,,,0,0,366,"no signals, no tells (len=366)",The God of Small Things
108,tess-of-the-durbervilles,THIN,0,,,0,0,438,"no signals, no tells (len=438)",Tess of the d'Urbervilles
109,the-book-thief,THIN,0,,,0,0,470,"no signals, no tells (len=470)",The Book Thief
111,monster-walter-dean-myers,THIN,0,,,0,0,718,"no signals, no tells (len=718)",Monster
113,dubliners,THIN,0,,,0,0,276,"no signals, no tells (len=276)",Dubliners
114,tobacco-road,THIN,0,,,0,0,672,"no signals, no tells (len=672)",Tobacco Road
117,myra-breckinridge,THIN,0,,,0,0,245,"no signals, no tells (len=245)",Myra Breckinridge
118,carrie-stephen-king,THIN,0,,,0,0,449,"no signals, no tells (len=449)",Carrie
119,gender-queer,THIN,0,,,0,0,280,"no signals, no tells (len=280)",Gender Queer: A Memoir
120,looking-for-alaska,THIN,0,,,0,0,716,"no signals, no tells (len=716)",Looking for Alaska
121,thirteen-reasons-why,THIN,0,,,0,0,663,"no signals, no tells (len=663)",Thirteen Reasons Why
122,maus,THIN,0,,,0,0,256,"no signals, no tells (len=256)",Maus
124,the-hate-u-give,THIN,0,,,0,0,730,"no signals, no tells (len=730)",The Hate U Give
125,persepolis,THIN,0,,,0,0,446,"no signals, no tells (len=446)",Persepolis
126,eleanor-and-park,THIN,0,,,0,0,689,"no signals, no tells (len=689)",Eleanor & Park
128,the-things-they-carried,THIN,0,,,0,0,516,"no signals, no tells (len=516)",The Things They Carried
129,fight-club,THIN,0,,,0,0,532,"no signals, no tells (len=532)",Fight Club
130,fun-home,THIN,0,,,0,0,704,"no signals, no tells (len=704)",Fun Home
131,enders-game,THIN,0,,,0,0,505,"no signals, no tells (len=505)",Ender's Game
132,sold-patricia-mccormick,THIN,0,,,0,0,566,"no signals, no tells (len=566)",Sold
133,crank,GROUNDED,0,law-number,,0,0,619,signals: law-number,Crank
135,nineteen-minutes,GROUNDED,0,named-org,,0,0,381,signals: named-org,Nineteen Minutes
137,scary-stories-to-tell-in-the-dark,THIN,0,,,0,0,530,"no signals, no tells (len=530)",Scary Stories to Tell in the Dark
138,the-glass-castle,THIN,0,,,0,0,586,"no signals, no tells (len=586)",The Glass Castle
140,the-sun-also-rises,THIN,0,,,0,0,330,"no signals, no tells (len=330)",The Sun Also Rises
141,a-farewell-to-arms,THIN,0,,,0,0,424,"no signals, no tells (len=424)",A Farewell to Arms
142,kaffir-boy,THIN,0,,,0,0,617,"no signals, no tells (len=617)",Kaffir Boy
143,the-naked-and-the-dead,THIN,0,,,0,0,422,"no signals, no tells (len=422)",The Naked and the Dead
149,alices-adventures-in-wonderland,THIN,0,,,0,0,500,"no signals, no tells (len=500)",Alice's Adventures in Wonderland
153,the-country-girls,THIN,0,,,0,0,410,"no signals, no tells (len=410)",The Country Girls
155,the-dark-mcgahern,THIN,0,,,0,0,573,"no signals, no tells (len=573)",The Dark
156,marriage-and-morals,THIN,0,,,0,0,246,"no signals, no tells (len=246)",Marriage and Morals
158,a-feast-for-the-seaweeds,THIN,0,,,0,0,534,"no signals, no tells (len=534)",A Feast for the Seaweeds
160,23-years,THIN,0,,,0,0,535,"no signals, no tells (len=535)",23 Years: A Study of the Prophetic Career of Mohammad
178,by-grand-central-station-i-sat-down-and-wept,THIN,0,,,0,0,347,"no signals, no tells (len=347)",By Grand Central Station I Sat Down and Wept
179,droll-stories,GROUNDED,0,named-law,,0,0,595,signals: named-law,Droll Stories
181,water-for-elephants,GROUNDED,0,quant-claim,,0,0,469,signals: quant-claim,Water for Elephants
187,snow-falling-on-cedars,GROUNDED,0,named-org,,0,0,597,signals: named-org,Snow Falling on Cedars
188,running-loose,THIN,0,,,0,0,275,"no signals, no tells (len=275)",Running Loose
192,tricks,GROUNDED,0,named-org,,0,0,549,signals: named-org,Tricks
194,identical,THIN,0,,,0,0,753,"no signals, no tells (len=753)",Identical
195,throne-of-glass,THIN,0,,,0,0,340,"no signals, no tells (len=340)",Throne of Glass
196,impulse,GROUNDED,0,law-number|quant-claim,,0,0,312,"signals: law-number, quant-claim",Impulse
197,out-of-darkness,GROUNDED,0,named-org,,0,0,589,signals: named-org,Out of Darkness
199,empire-of-storms,GROUNDED,0,law-number,,0,0,656,signals: law-number,Empire of Storms
202,me-and-earl-and-the-dying-girl,THIN,0,,,0,0,730,"no signals, no tells (len=730)",Me and Earl and the Dying Girl
203,assassination-classroom,THIN,0,,,0,0,693,"no signals, no tells (len=693)",Assassination Classroom
205,lucky-as,THIN,0,,,0,0,610,"no signals, no tells (len=610)",Lucky
206,perfect-eh,THIN,0,,,0,0,462,"no signals, no tells (len=462)",Perfect (EH)
207,living-dead-girl,THIN,0,,,0,0,439,"no signals, no tells (len=439)",Living Dead Girl
209,i-am-not-your-perfect-mexican-daughter,THIN,0,,,0,0,381,"no signals, no tells (len=381)",I Am Not Your Perfect Mexican Daughter
212,kingdom-of-ash,THIN,0,,,0,0,479,"no signals, no tells (len=479)",Kingdom of Ash
215,mondays-not-coming,THIN,0,,,0,0,731,"no signals, no tells (len=731)",Monday's Not Coming
216,damsel,GROUNDED,0,law-number,,0,0,643,signals: law-number,Damsel
219,the-haters,GROUNDED,0,law-number,,0,0,390,signals: law-number,The Haters
